OrgId,org_tp_rate,org_fp_rate,org_bp_rate,org_nb_incidents
0,0.9958677685950413,0.004132231404958678,0.0,242
1,0.9622641509433962,0.018867924528301886,0.018867924528301886,53
2,0.0008361204013377926,0.0,0.9991638795986622,1196
3,0.0017064846416382253,0.0017064846416382253,0.9965870307167235,586
4,0.005208333333333333,0.8645833333333334,0.13020833333333334,192
5,0.95,0.05,0.0,140
6,0.004228329809725159,0.004228329809725159,0.9915433403805497,473
7,0.008695652173913044,0.9434782608695652,0.04782608695652174,230
8,0.9850249584026622,0.0016638935108153079,0.013311148086522463,601
9,0.032520325203252036,0.3902439024390244,0.5772357723577236,123
10,0.9927536231884058,0.0,0.007246376811594203,138
11,0.026350461133069828,0.9736495388669302,0.0,759
12,0.0,0.004608294930875576,0.9953917050691244,217
13,0.0,0.0015037593984962407,0.9984962406015038,665
14,0.902127659574468,0.0,0.09787234042553192,235
16,0.0,0.0034965034965034965,0.9965034965034965,286
17,0.00641025641025641,0.9935897435897436,0.0,156
18,0.002127659574468085,0.9957446808510638,0.002127659574468085,470
19,0.24817518248175183,0.0,0.7518248175182481,274
20,0.0,0.5136986301369864,0.4863013698630137,146
21,0.0,0.0,1.0,115
22,1.0,0.0,0.0,22
23,0.8636363636363636,0.13636363636363635,0.0,22
24,0.5159817351598174,0.0365296803652968,0.4474885844748858,438
25,0.0,0.0,1.0,35
26,0.0038314176245210726,0.034482758620689655,0.9616858237547893,261
27,0.08333333333333333,0.25,0.6666666666666666,12
28,0.8293838862559242,0.17061611374407584,0.0,211
29,0.010810810810810811,0.016216216216216217,0.972972972972973,185
30,0.0,0.7309941520467836,0.26900584795321636,171
31,0.0,0.006896551724137931,0.993103448275862,145
32,0.0,0.019704433497536946,0.9802955665024631,203
33,0.03942652329749104,0.0035842293906810036,0.956989247311828,279
34,0.004016064257028112,0.024096385542168676,0.9718875502008032,249
35,0.9285714285714286,0.07142857142857142,0.0,14
36,0.233502538071066,0.3553299492385787,0.41116751269035534,197
37,0.0,1.0,0.0,100
38,0.47509578544061304,0.007662835249042145,0.5172413793103449,261
39,0.36134453781512604,0.008403361344537815,0.6302521008403361,119
40,0.005649717514124294,0.005649717514124294,0.9887005649717514,177
41,0.9834710743801653,0.008264462809917356,0.008264462809917356,121
42,0.0,0.125,0.875,16
43,0.1032258064516129,0.012903225806451613,0.8838709677419355,155
44,0.0033222591362126247,0.0033222591362126247,0.9933554817275747,301
45,0.0,0.8083333333333333,0.19166666666666668,120
46,0.0947867298578199,0.17535545023696683,0.7298578199052133,211
47,0.0,1.0,0.0,223
48,0.0036900369003690036,0.0036900369003690036,0.992619926199262,271
49,0.991869918699187,0.008130081300813009,0.0,123
50,0.7333333333333333,0.2,0.06666666666666667,15
51,0.0,0.0,1.0,134
52,0.18803418803418803,0.008547008547008548,0.8034188034188035,117
53,0.014492753623188406,0.7246376811594203,0.2608695652173913,69
54,0.13815789473684212,0.019736842105263157,0.8421052631578947,152
55,0.7792207792207793,0.03896103896103896,0.18181818181818182,154
56,0.2602739726027397,0.0136986301369863,0.7191780821917808,146
57,0.06837606837606838,0.017094017094017096,0.9145299145299145,117
58,0.0,0.04854368932038835,0.9514563106796117,103
59,0.047619047619047616,0.007936507936507936,0.9444444444444444,126
60,0.0,1.0,0.0,6
61,0.017241379310344827,0.43103448275862066,0.5517241379310345,116
62,0.9766536964980544,0.007782101167315175,0.01556420233463035,257
63,1.0,0.0,0.0,9
64,0.0,0.0,1.0,143
65,0.07741935483870968,0.8903225806451613,0.03225806451612903,155
66,0.9848484848484849,0.007575757575757576,0.007575757575757576,132
67,0.010752688172043012,0.053763440860215055,0.9354838709677419,93
68,0.0,0.013333333333333334,0.9866666666666667,75
69,0.0,0.24705882352941178,0.7529411764705882,85
70,0.012195121951219513,0.012195121951219513,0.975609756097561,82
71,0.02127659574468085,0.9787234042553191,0.0,47
73,0.0,0.9191919191919192,0.06060606060606061,99
74,0.10909090909090909,0.01818181818181818,0.8727272727272727,55
75,0.8571428571428571,0.14285714285714285,0.0,7
76,1.0,0.0,0.0,10
77,0.01020408163265306,0.07142857142857142,0.9183673469387755,98
78,0.14285714285714285,0.0,0.8571428571428571,70
79,0.0,1.0,0.0,84
81,0.0,0.017543859649122806,0.9824561403508771,57
82,0.6904761904761905,0.2857142857142857,0.023809523809523808,42
83,0.0,0.0,0.996268656716418,268
84,0.94,0.02,0.02,50
85,0.04225352112676056,0.0,0.9577464788732394,71
86,0.0,0.046511627906976744,0.9534883720930233,43
87,0.019230769230769232,0.8846153846153846,0.09615384615384616,52
88,0.0,1.0,0.0,48
89,0.8,0.0,0.2,5
91,0.0,0.03225806451612903,0.967741935483871,62
92,0.06060606060606061,0.15151515151515152,0.7878787878787878,33
93,0.6,0.2,0.2,5
94,0.05263157894736842,0.0,0.9473684210526315,19
95,0.6136363636363636,0.3409090909090909,0.045454545454545456,44
96,0.02666666666666667,0.7733333333333333,0.2,75
97,0.7954545454545454,0.18181818181818182,0.022727272727272728,44
98,0.01680672268907563,0.9747899159663865,0.008403361344537815,119
99,0.2857142857142857,0.7142857142857143,0.0,7
100,0.0078125,0.0,0.9921875,128
102,0.023255813953488372,0.0,0.9767441860465116,43
103,0.02857142857142857,0.3142857142857143,0.6571428571428571,35
104,0.0,0.9696969696969697,0.030303030303030304,33
105,0.02564102564102564,0.5128205128205128,0.46153846153846156,39
106,0.02857142857142857,0.34285714285714286,0.6285714285714286,35
107,0.7714285714285715,0.02857142857142857,0.2,35
108,0.1794871794871795,0.05128205128205128,0.7692307692307693,39
109,0.027777777777777776,0.06944444444444445,0.9027777777777778,72
110,1.0,0.0,0.0,6
111,0.05555555555555555,0.16666666666666666,0.7777777777777778,18
112,0.01818181818181818,0.03636363636363636,0.9454545454545454,55
113,0.8631578947368421,0.0,0.1368421052631579,95
114,0.0,0.8867924528301887,0.11320754716981132,53
115,0.4634146341463415,0.04878048780487805,0.4878048780487805,41
117,0.8333333333333334,0.16666666666666666,0.0,6
118,0.018518518518518517,0.09259259259259259,0.8888888888888888,54
119,0.02040816326530612,0.9795918367346939,0.0,49
120,0.0,0.0,1.0,28
121,0.9814814814814815,0.018518518518518517,0.0,54
122,0.023809523809523808,0.9523809523809523,0.023809523809523808,42
123,0.9069767441860465,0.06976744186046512,0.023255813953488372,43
124,0.02631578947368421,0.9736842105263158,0.0,38
125,0.029411764705882353,0.029411764705882353,0.9411764705882353,34
126,0.47058823529411764,0.11764705882352941,0.4117647058823529,34
127,0.5714285714285714,0.42857142857142855,0.0,7
128,0.08333333333333333,0.0,0.9166666666666666,12
129,0.1,0.025,0.875,40
130,0.3333333333333333,0.041666666666666664,0.625,48
131,0.0,0.041666666666666664,0.9583333333333334,24
132,0.04,0.04,0.92,25
133,0.0,0.0,1.0,43
134,0.029411764705882353,0.058823529411764705,0.9117647058823529,34
135,0.01639344262295082,0.01639344262295082,0.9672131147540983,61
136,0.0,0.25396825396825395,0.746031746031746,63
137,0.01639344262295082,0.01639344262295082,0.9672131147540983,61
138,0.15,0.025,0.825,40
139,0.023809523809523808,0.023809523809523808,0.9523809523809523,42
140,0.0,1.0,0.0,59
141,0.05714285714285714,0.0,0.9428571428571428,35
142,0.014705882352941176,0.9852941176470589,0.0,68
143,0.8,0.2,0.0,5
144,0.04,0.0,0.96,25
145,0.40540540540540543,0.05405405405405406,0.5405405405405406,37
146,0.2727272727272727,0.5454545454545454,0.09090909090909091,11
147,0.559322033898305,0.4406779661016949,0.0,59
148,1.0,0.0,0.0,18
149,0.02564102564102564,0.0,0.9743589743589743,39
150,0.030303030303030304,0.45454545454545453,0.5151515151515151,33
151,0.03125,0.0,0.96875,32
152,0.030303030303030304,0.12121212121212122,0.8484848484848485,33
153,0.9047619047619048,0.0,0.09523809523809523,21
154,0.047619047619047616,0.0,0.9523809523809523,21
155,0.8333333333333334,0.16666666666666666,0.0,6
156,0.08695652173913043,0.0,0.9130434782608695,23
