IncidentId,OrgId,nb_alerts,nb_evidences,nb_categories,nb_detectors,nb_entity_types,alert_title_tp_rate,alert_title_bp_rate,alert_title_fp_rate,category_tp_rate,category_bp_rate,category_fp_rate,hour_of_day,day_of_week,is_weekend,is_business_hours,is_after_midnight,incident_duration_min,alert_rate_per_hour,hour_sin,hour_cos,day_sin,day_cos,accounts_per_device,ips_per_hour,alerts_per_detector,spread_score,has_impacted_entity,nb_impacted_entities,ip_ti_score,ip_in_blocklist,ip_nb_sources,ip_ti_confidence,hash_ti_score,hash_in_blocklist,hash_nb_sources,hash_ti_confidence,ti_score_max,ti_score_combined,any_ioc_in_blocklist,ti_actor_APT,ti_actor_cybercrime,ti_actor_hacktivist,asset_criticality_score,asset_patch_risk,asset_network_zone_risk,asset_risk_score,days_since_last_patch,nb_vulnerabilities,is_domain_controller,last_incident_days_ago,is_internet_exposed,MFA_enabled,nb_failed_logins_7d,login_country_mismatch,user_criticality_score,is_privileged_account,account_inactive,sandbox_malware_score,sandbox_network_conns,sandbox_process_injection,sandbox_c2_beaconing,sandbox_evasion,sandbox_lateral_movement,sandbox_privilege_escalation,sandbox_dns_count,detector_tp_rate,detector_bp_rate,detector_fp_rate,detector_nb_incidents,mitre_initial_access,mitre_execution,mitre_persistence,mitre_credential_access,mitre_discovery,mitre_lateral_movement,mitre_command_and_control,mitre_exfiltration,mitre_impact,has_threat_family,asset_x_ti,asset_x_alerts,asset_x_sandbox,privileged_x_failed_logins,target
9,93,48,11656,4,4,3,0.1773047619047619,0.47494285714285717,0.3477523809523809,0.12386706948640483,0.7371601208459214,0.13897280966767372,16,1,0,1,0,6507.7,0.4425118694589985,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,20.0,0.018422709059367184,9.6,100.0,1,654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2,2,5.0,134.0,20.0,0.0,145.0,1.0,0,1.0,0,2,0,0,11,0,0,0,0,0,0,4,0.16,0.48,0.36,25.0,1,0,0,1,1,0,0,0,0,0,0.0,3.8918202981106265,11,0.0,0
26,119,2077,10047,1,2,5,0.23053015873015872,0.5392666666666667,0.2302031746031746,0.23390051290401367,0.3113245949686559,0.45477489212733047,2,4,0,0,1,1981.2,62.88222827732364,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,19.0,0.12077294685990336,692.3333333333334,63.0,1,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2,2,5.0,134.0,20.0,0.0,145.0,1.0,1,1.0,0,2,0,0,11,0,0,0,0,0,0,4,0.23157894736842105,0.5473684210526316,0.22105263157894736,95.0,1,0,0,0,0,0,0,0,0,0,0.0,7.639161171659173,11,0.0,0
29,5,9343,10037,5,13,8,0.12109163009163008,0.04472695772695773,0.8341814121814122,0.23390051290401367,0.3113245949686559,0.45477489212733047,16,6,1,1,0,6057.25,92.53778155616266,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,20.0,1.6129963303508845,667.3571428571429,100.0,1,172,34.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,34.0,34.0,0,0,1,0,1,2,2,5.0,134.0,20.0,0.0,145.0,1.0,0,15.0,0,1,0,0,11,0,0,0,0,0,0,4,0.12088930060213061,0.04377026401111626,0.8353404353867532,4318.0,1,0,0,1,0,1,0,0,0,0,34.0,9.142489705068009,11,0.0,2
57,2572,4,4,1,1,1,0.12109163009163008,0.04472695772695773,0.8341814121814122,0.23390051290401367,0.3113245949686559,0.45477489212733047,8,0,0,1,0,0.0,400.0,0.8660254037844387,-0.49999999999999983,0.0,1.0,0.5,10.0,2.0,4.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2,2,5.0,134.0,20.0,0.0,145.0,1.0,0,15.0,0,1,0,0,11,0,0,0,0,0,0,4,0.12088930060213061,0.04377026401111626,0.8353404353867532,4318.0,1,0,0,0,0,0,0,0,0,0,0.0,1.6094379124341003,11,0.0,0
62,1,9345,10008,2,6,6,0.12109163009163008,0.04472695772695773,0.8341814121814122,0.23390051290401367,0.3113245949686559,0.45477489212733047,9,4,0,1,0,9164.466666666667,61.17795106054876,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,20.0,0.9159839193934152,1000.0,100.0,1,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2,2,5.0,134.0,20.0,0.0,145.0,1.0,0,12.0,0,3,1,0,11,0,0,0,0,0,0,4,0.12088930060213061,0.04377026401111626,0.8353404353867532,4318.0,1,0,0,1,0,0,0,0,0,0,0.0,9.142703723260372,11,12.0,2
70,72,9364,10003,4,9,6,0.12109163009163008,0.04472695772695773,0.8341814121814122,0.23390051290401367,0.3113245949686559,0.45477489212733047,14,2,0,1,0,6061.183333333333,92.68559582301137,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,20.0,1.4438330801497674,936.4,100.0,1,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2,2,5.0,134.0,20.0,0.0,145.0,1.0,0,12.0,0,2,0,0,11,0,0,0,0,0,0,4,0.12088930060213061,0.04377026401111626,0.8353404353867532,4318.0,1,0,0,1,0,0,0,0,0,0,0.0,9.144734614878189,11,0.0,2
92,0,9296,10000,2,5,4,0.12109163009163008,0.04472695772695773,0.8341814121814122,0.23390051290401367,0.3113245949686559,0.45477489212733047,0,2,0,0,1,6276.816666666667,88.85183661007049,0.0,1.0,0.9749279121818236,-0.22252093395631434,20.0,0.9263361178240122,1000.0,100.0,1,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2,2,5.0,134.0,20.0,0.0,145.0,1.0,0,15.0,0,1,0,0,11,0,0,0,0,0,0,4,0.12088930060213061,0.04377026401111626,0.8353404353867532,4318.0,1,0,0,1,0,0,0,0,0,0,0.0,9.137447046455858,11,0.0,2
104,25,6704,10000,1,3,3,0.2005151515151515,0.5111818181818182,0.2883030303030303,0.07453726863431716,0.6053026513256629,0.32016008004002,18,2,0,1,0,3527.8166666666666,114.00014170662007,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,20.0,0.01697880950247372,1000.0,100.0,1,563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2,2,5.0,134.0,20.0,0.0,145.0,1.0,0,15.0,0,1,0,0,11,0,0,0,0,0,0,4,0.0,1.0,0.0,21.0,0,0,0,0,0,0,0,0,0,0,0.0,8.81060879571578,11,0.0,1
120,0,9379,9999,2,6,5,0.12109163009163008,0.04472695772695773,0.8341814121814122,0.23390051290401367,0.3113245949686559,0.45477489212733047,18,0,0,1,0,5360.483333333334,104.96759050565028,-1.0,-1.8369701987210297e-16,0.0,1.0,20.0,1.364021752295886,1000.0,100.0,1,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2,2,5.0,134.0,20.0,0.0,145.0,1.0,0,15.0,0,1,0,0,11,0,0,0,0,0,0,4,0.12088930060213061,0.04377026401111626,0.8353404353867532,4318.0,1,0,0,1,0,0,0,0,0,0,0.0,9.14633504200027,11,0.0,2
157,90,9409,9979,2,6,4,0.12109163009163008,0.04472695772695773,0.8341814121814122,0.23390051290401367,0.3113245949686559,0.45477489212733047,6,5,1,0,0,6481.35,87.09416147918449,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,20.0,1.424310388679507,1000.0,100.0,1,191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2,2,5.0,134.0,20.0,0.0,145.0,1.0,0,15.0,0,1,0,0,11,0,0,0,0,0,0,4,0.12088930060213061,0.04377026401111626,0.8353404353867532,4318.0,1,0,0,1,0,0,0,0,0,0,0.0,9.149528232579426,11,0.0,2
