top_alert_title,alert_title_tp_rate,alert_title_bp_rate,alert_title_fp_rate
0,0.12109163009163008,0.04472695772695773,0.8341814121814122
1,0.35323778437190895,0.5499246290801187,0.09683758654797231
2,0.13654021918941273,0.7731460918114144,0.09031368899917287
3,0.33537987588652485,0.06598803191489361,0.5986320921985816
4,0.2607515905947441,0.6976124481327801,0.0416359612724758
5,0.26211766735679776,0.5068561076604555,0.23102622498274672
6,0.6856251621271077,0.14250194552529183,0.17187289234760053
7,0.09589855072463768,0.24447826086956523,0.6596231884057971
8,0.2617711797307997,0.6855653206650831,0.05266349960411718
9,0.2309860529986053,0.6176694560669456,0.1513444909344491
10,0.12696747967479674,0.527390243902439,0.34564227642276424
11,0.3339400196656834,0.5918082595870207,0.07425172074729597
12,0.6829867424242425,0.13422159090909092,0.18279166666666669
13,0.032920398009950246,0.9197462686567164,0.04733333333333333
14,0.03938690476190476,0.8861249999999999,0.07448809523809523
15,0.12351803482587066,0.03287873134328358,0.8436032338308458
16,0.2882266666666667,0.58492,0.12685333333333332
17,0.21558538251366122,0.5627520491803278,0.22166256830601094
18,0.1773047619047619,0.47494285714285717,0.3477523809523809
19,0.23053015873015872,0.5392666666666667,0.2302031746031746
20,0.6611159420289855,0.201,0.1378840579710145
21,0.6483923686105112,0.33611879049676024,0.01548884089272858
22,0.14466157328805887,0.6886638370118846,0.1666745897000566
23,0.2157547619047619,0.5330214285714286,0.25122380952380957
24,0.08014166666666667,0.665575,0.2542833333333333
25,0.1232948717948718,0.7547307692307693,0.12197435897435896
26,0.016837150127226464,0.9589541984732824,0.024208651399491094
27,0.059612612612612616,0.8546756756756757,0.0857117117117117
28,0.14775396825396825,0.5386428571428572,0.3136031746031746
29,0.10017708333333333,0.58196875,0.31785416666666666
30,0.35083862433862434,0.306531746031746,0.3426296296296297
31,0.020035416666666667,0.57889375,0.4010708333333334
32,0.0047741702741702745,0.010006493506493507,0.9852193362193362
33,0.18856862745098038,0.5660588235294118,0.24537254901960784
34,0.9716569696969697,0.01681090909090909,0.01153212121212121
